Sum,Percent Mean,Variance (percent squared)
3,0.004545,6.6895e-06
4,0.014015000000000001,3.2005499999999984e-05
5,0.02791,0.00010595799999999996
6,0.04722,9.817200000000002e-05
7,0.069095,7.896949999999995e-05
8,0.0973,0.00019914000000000002
9,0.115475,0.00017729750000000012
10,0.1249,0.00019557999999999989
11,0.124795,0.00011352950000000008
12,0.115645,8.222949999999996e-05
13,0.09697,0.00010214200000000007
14,0.06965,0.0001156100000000001
15,0.04672,3.421199999999999e-05
16,0.027239999999999997,2.732800000000002e-05
17,0.01365,2.660999999999999e-05
18,0.00487,1.4862000000000004e-05
