Trial,Expectation Value,Variance
1,10.5132,340.00278784
2,10.520400000000002,340.00665856
3,10.520100000000001,340.00646416
4,10.4757,340.00944784
5,10.5155,340.003844
6,10.544699999999999,340.03196944
7,10.492500000000001,340.0009
8,10.439299999999998,340.05895183999996
9,10.4965,340.000196
10,10.4645,340.020164
11,10.5089,340.00126736
12,10.471400000000001,340.01308736
13,10.528300000000002,340.01281423999995
14,10.491999999999999,340.00102400000003
15,10.4454,340.04769856
16,10.4849,340.00364815999995
17,10.497499999999999,340.00010000000003
18,10.467500000000001,340.0169
19,10.5054,340.00046655999995
20,10.5253,340.01024143999996
